schema_version,source_file,source_kind,sample_index,scenario_name,workload_class,sample_timestamp,desired_config,effective_config,override_mode,config_profile_name,config_custom_status,config_base_config,cfg_auto_idle_temp_c,cfg_auto_min_speed_pct,cfg_auto_max_speed_pct,cfg_auto_load_temp_c,cfg_auto_temp_source,cfg_auto_uses_gpu_temp,cfg_auto1_idle_temp_c,cfg_auto1_min_speed_pct,cfg_auto1_max_speed_pct,cfg_auto1_load_temp_c,cfg_auto1_temp_source,cfg_auto1_uses_gpu_temp,cfg_auto2_idle_temp_c,cfg_auto2_min_speed_pct,cfg_auto2_max_speed_pct,cfg_auto2_load_temp_c,cfg_auto2_temp_source,cfg_auto2_uses_gpu_temp,cfg_cpu_fan_start_pct,cfg_cpu_fan_stop_pct,cfg_cpu_fan_minimum_pct,cfg_cpu_fan_enabled,cfg_system_fan2_start_pct,cfg_system_fan2_stop_pct,cfg_system_fan2_minimum_pct,cfg_system_fan2_enabled,cfg_system_fan3_start_pct,cfg_system_fan3_stop_pct,cfg_system_fan3_minimum_pct,cfg_system_fan3_enabled,cfg_system_fan4_start_pct,cfg_system_fan4_stop_pct,cfg_system_fan4_minimum_pct,cfg_system_fan4_enabled,cpu_package_c,core_average_c,min_distance_to_tjmax_c,cpu_total_load_pct,cpu_core_max_load_pct,cpu_clock_avg_mhz,pcore_clock_avg_mhz,ecore_clock_avg_mhz,cpu_package_power_w,system_temp_c,vrm_mos_temp_c,pch_temp_c,gpu_temp_c,gpu_3d_util_pct,cpu_fan_rpm,system_fan2_rpm,system_fan3_rpm,system_fan4_rpm,gpu_fan1_rpm,gpu_fan2_rpm,total_case_fan_rpm,total_tracked_fan_rpm,cpu_soft_margin_c,gpu_soft_margin_c,tjmax_soft_margin_c,case_fan_share,gpu_assist_share,fan_per_cpu_w,safety_label,thermal_score,source_sample_count,sample_progress_pct,elapsed_seconds,delta_seconds,cpu_package_delta_1,gpu_temp_delta_1,total_tracked_fan_rpm_delta_1,cpu_total_load_delta_1,rolling_cpu_package_avg_3,rolling_cpu_package_max_3,rolling_gpu_temp_avg_3,rolling_gpu_temp_max_3,rolling_total_tracked_fan_rpm_avg_3,rolling_total_tracked_fan_rpm_max_3,rolling_cpu_total_load_avg_3,rolling_cpu_total_load_max_3,noise_efficiency_score,target_score
fancontrol.training-row.v1,2026-04-29_stage1_idle/cpu_heavy_powershell.json,array,10,CpuHeavy-PowerShell,cpu-biased,2026-04-29 09:39:13,Game_vNext_stage1_low-rpm.json,Game_vNext_stage1_low-rpm.json,Game_vNext_stage1_low-rpm.json,Game_vNext_stage1_low-rpm.json,accepted-baseline,Game.json,40.0,25.0,85.0,78.0,/intelcpu/0/temperature/16,0.0,48.0,15.0,72.0,78.0,/intelcpu/0/temperature/16,0.0,62.0,0.0,55.0,74.0,NVApiWrapper/0-AD104-A/sensor/0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,25.0,16.0,0.0,1.0,22.0,16.0,0.0,1.0,59.0,55.5,38.0,27.13,64.06,4343.2,5075.4,3794.1,86.330765,47.0,49.0,56.0,41.0,15.2,1307.0,1342.0,0.0,0.0,1172.0,1169.0,1342.0,2649.0,26.0,37.0,23.0,0.506606,0.0,30.684311,safe,100.0,16,0.666667,50,5,0.0,0.0,-33.0,5.2,59.333333,60.0,41.0,41.0,2663.0,2682.0,21.406667,27.13,39.044,78.665
fancontrol.training-row.v1,2026-04-29_stage1_idle/cpu_heavy_powershell.json,array,11,CpuHeavy-PowerShell,cpu-biased,2026-04-29 09:39:17,Game_vNext_stage1_low-rpm.json,Game_vNext_stage1_low-rpm.json,Game_vNext_stage1_low-rpm.json,Game_vNext_stage1_low-rpm.json,accepted-baseline,Game.json,40.0,25.0,85.0,78.0,/intelcpu/0/temperature/16,0.0,48.0,15.0,72.0,78.0,/intelcpu/0/temperature/16,0.0,62.0,0.0,55.0,74.0,NVApiWrapper/0-AD104-A/sensor/0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,25.0,16.0,0.0,1.0,22.0,16.0,0.0,1.0,64.0,55.42857,27.0,19.61,57.81,4343.2,5075.4,3794.1,70.18524,47.0,49.0,56.0,41.0,15.2,1173.0,1032.0,0.0,0.0,1168.0,1170.0,1032.0,2205.0,21.0,37.0,12.0,0.468027,0.0,31.416862,safe,100.0,16,0.733333,54,4,5.0,0.0,-444.0,-7.52,60.666667,64.0,41.0,41.0,2512.0,2682.0,22.89,27.13,55.761,84.516
fancontrol.training-row.v1,2026-04-29_stage1_idle/cpu_heavy_powershell.json,array,12,CpuHeavy-PowerShell,cpu-biased,2026-04-29 09:39:22,Game_vNext_stage1_low-rpm.json,Game_vNext_stage1_low-rpm.json,Game_vNext_stage1_low-rpm.json,Game_vNext_stage1_low-rpm.json,accepted-baseline,Game.json,40.0,25.0,85.0,78.0,/intelcpu/0/temperature/16,0.0,48.0,15.0,72.0,78.0,/intelcpu/0/temperature/16,0.0,62.0,0.0,55.0,74.0,NVApiWrapper/0-AD104-A/sensor/0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,25.0,16.0,0.0,1.0,22.0,16.0,0.0,1.0,69.0,57.5,28.0,20.78,53.12,4343.2,5075.4,3794.1,74.166046,46.5,49.0,55.0,41.0,15.7,1295.0,1331.0,0.0,0.0,1172.0,1166.0,1331.0,2626.0,16.0,37.0,13.0,0.506855,0.0,35.407038,safe,100.0,16,0.8,59,5,5.0,0.0,421.0,1.17,64.0,69.0,41.0,41.0,2493.333333,2649.0,22.506667,27.13,39.91,78.969
fancontrol.training-row.v1,2026-04-29_stage1_idle/cpu_heavy_powershell.json,array,13,CpuHeavy-PowerShell,cpu-biased,2026-04-29 09:39:28,Game_vNext_stage1_low-rpm.json,Game_vNext_stage1_low-rpm.json,Game_vNext_stage1_low-rpm.json,Game_vNext_stage1_low-rpm.json,accepted-baseline,Game.json,40.0,25.0,85.0,78.0,/intelcpu/0/temperature/16,0.0,48.0,15.0,72.0,78.0,/intelcpu/0/temperature/16,0.0,62.0,0.0,55.0,74.0,NVApiWrapper/0-AD104-A/sensor/0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,25.0,16.0,0.0,1.0,22.0,16.0,0.0,1.0,63.0,55.357143,37.0,21.95,60.94,4343.2,5075.4,3794.1,79.87683,46.5,49.0,56.0,41.0,15.2,1317.0,1354.0,0.0,0.0,1169.0,1171.0,1354.0,2671.0,22.0,37.0,22.0,0.506926,0.0,33.438983,safe,100.0,16,0.866667,65,6,-6.0,0.0,45.0,1.17,65.333333,69.0,41.0,41.0,2500.666667,2671.0,20.78,21.95,38.215,78.375
fancontrol.training-row.v1,2026-04-29_stage1_idle/cpu_heavy_powershell.json,array,14,CpuHeavy-PowerShell,cpu-biased,2026-04-29 09:39:33,Game_vNext_stage1_low-rpm.json,Game_vNext_stage1_low-rpm.json,Game_vNext_stage1_low-rpm.json,Game_vNext_stage1_low-rpm.json,accepted-baseline,Game.json,40.0,25.0,85.0,78.0,/intelcpu/0/temperature/16,0.0,48.0,15.0,72.0,78.0,/intelcpu/0/temperature/16,0.0,62.0,0.0,55.0,74.0,NVApiWrapper/0-AD104-A/sensor/0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,25.0,16.0,0.0,1.0,22.0,16.0,0.0,1.0,69.0,55.07143,31.0,18.91,53.12,4343.2,5075.4,3794.1,69.334236,46.5,49.5,55.0,40.0,14.6,1287.0,1346.0,0.0,0.0,1170.0,1170.0,1346.0,2633.0,16.0,38.0,16.0,0.511204,0.0,37.975467,safe,100.0,16,0.933333,70,5,6.0,-1.0,-38.0,-3.04,67.0,69.0,40.666667,41.0,2643.333333,2671.0,20.546667,21.95,39.646,78.876
fancontrol.training-row.v1,2026-04-29_stage1_idle/cpu_heavy_powershell.json,array,15,CpuHeavy-PowerShell,cpu-biased,2026-04-29 09:39:38,Game_vNext_stage1_low-rpm.json,Game_vNext_stage1_low-rpm.json,Game_vNext_stage1_low-rpm.json,Game_vNext_stage1_low-rpm.json,accepted-baseline,Game.json,40.0,25.0,85.0,78.0,/intelcpu/0/temperature/16,0.0,48.0,15.0,72.0,78.0,/intelcpu/0/temperature/16,0.0,62.0,0.0,55.0,74.0,NVApiWrapper/0-AD104-A/sensor/0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,25.0,16.0,0.0,1.0,22.0,16.0,0.0,1.0,69.0,55.07143,31.0,18.91,53.12,4343.2,5075.4,3794.1,69.334236,46.5,49.5,55.0,40.0,13.9,1287.0,1346.0,0.0,0.0,1170.0,1170.0,1346.0,2633.0,16.0,38.0,16.0,0.511204,0.0,37.975467,safe,100.0,16,1.0,75,5,0.0,0.0,0.0,0.0,67.0,69.0,40.333333,41.0,2645.666667,2671.0,19.923333,21.95,39.646,78.876
fancontrol.training-row.v1,2026-04-29_stage1_idle/front_volume_shader_default.json,array,0,Front-VolumeShader-Default,gpu-biased,2026-04-29 09:57:56,Game_vNext_stage1_low-rpm.json,Game_vNext_stage1_low-rpm.json,,Game_vNext_stage1_low-rpm.json,accepted-baseline,Game.json,40.0,25.0,85.0,78.0,/intelcpu/0/temperature/16,0.0,48.0,15.0,72.0,78.0,/intelcpu/0/temperature/16,0.0,62.0,0.0,55.0,74.0,NVApiWrapper/0-AD104-A/sensor/0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,25.0,16.0,0.0,1.0,22.0,16.0,0.0,1.0,62.0,58.785713,31.0,27.51,,4343.2,5075.4,3794.1,85.06078,42.5,49.0,51.0,37.0,15.6,1053.0,1371.0,0.0,0.0,1169.0,1171.0,1371.0,2424.0,23.0,41.0,16.0,0.565594,0.0,28.49727,safe,100.0,13,0.0,0,,,,,,62.0,62.0,37.0,37.0,2424.0,2424.0,27.51,27.51,47.515,81.63
fancontrol.training-row.v1,2026-04-29_stage1_idle/front_volume_shader_default.json,array,1,Front-VolumeShader-Default,gpu-biased,2026-04-29 09:58:00,Game_vNext_stage1_low-rpm.json,Game_vNext_stage1_low-rpm.json,,Game_vNext_stage1_low-rpm.json,accepted-baseline,Game.json,40.0,25.0,85.0,78.0,/intelcpu/0/temperature/16,0.0,48.0,15.0,72.0,78.0,/intelcpu/0/temperature/16,0.0,62.0,0.0,55.0,74.0,NVApiWrapper/0-AD104-A/sensor/0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,25.0,16.0,0.0,1.0,22.0,16.0,0.0,1.0,71.0,57.142857,29.0,34.86,,4343.2,5075.4,3794.1,102.745384,42.0,49.0,51.0,37.0,17.5,1049.0,1368.0,0.0,0.0,1169.0,1171.0,1368.0,2417.0,14.0,41.0,14.0,0.565991,0.0,23.524171,safe,100.0,13,0.083333,4,4,9.0,0.0,-7.0,7.35,66.5,71.0,37.0,37.0,2420.5,2424.0,31.185,34.86,47.779,81.723
fancontrol.training-row.v1,2026-04-29_stage1_idle/front_volume_shader_default.json,array,2,Front-VolumeShader-Default,gpu-biased,2026-04-29 09:58:05,Game_vNext_stage1_low-rpm.json,Game_vNext_stage1_low-rpm.json,,Game_vNext_stage1_low-rpm.json,accepted-baseline,Game.json,40.0,25.0,85.0,78.0,/intelcpu/0/temperature/16,0.0,48.0,15.0,72.0,78.0,/intelcpu/0/temperature/16,0.0,62.0,0.0,55.0,74.0,NVApiWrapper/0-AD104-A/sensor/0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,25.0,16.0,0.0,1.0,22.0,16.0,0.0,1.0,65.0,56.92857,38.0,33.12,,4343.2,5075.4,3794.1,81.144684,42.0,49.0,51.0,37.0,17.9,1039.0,1359.0,0.0,0.0,1170.0,1170.0,1359.0,2398.0,20.0,41.0,23.0,0.566722,0.0,29.552152,safe,100.0,13,0.166667,9,5,-6.0,0.0,-19.0,-1.74,66.0,71.0,37.0,37.0,2413.0,2424.0,31.83,34.86,48.494,81.973
fancontrol.training-row.v1,2026-04-29_stage1_idle/front_volume_shader_default.json,array,3,Front-VolumeShader-Default,gpu-biased,2026-04-29 09:58:10,Game_vNext_stage1_low-rpm.json,Game_vNext_stage1_low-rpm.json,,Game_vNext_stage1_low-rpm.json,accepted-baseline,Game.json,40.0,25.0,85.0,78.0,/intelcpu/0/temperature/16,0.0,48.0,15.0,72.0,78.0,/intelcpu/0/temperature/16,0.0,62.0,0.0,55.0,74.0,NVApiWrapper/0-AD104-A/sensor/0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,25.0,16.0,0.0,1.0,22.0,16.0,0.0,1.0,63.0,56.07143,31.0,31.25,,4343.2,5075.4,3794.1,86.90838,42.0,49.0,51.0,37.0,16.1,1028.0,1154.0,0.0,0.0,1169.0,1172.0,1154.0,2182.0,22.0,41.0,16.0,0.528873,0.0,25.1069,safe,100.0,13,0.25,14,5,-2.0,0.0,-216.0,-1.87,66.333333,71.0,37.0,37.0,2332.333333,2417.0,33.076667,34.86,56.627,84.819
